Cycle:        0 || Inst at 0x0             | NOP (idle)              | NOP (idle)              | NOP (idle)              | NOP (idle)              |
Cycle:       51 || Inst at 0x24            | lw t4, 4(t0)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       52 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       53 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | NOP (bubble)            |
Cycle:       54 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:       55 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:       56 || Inst at 0x30            | NOP (idle)              | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:       57 || Inst at 0x30            | NOP (bubble)            | NOP (idle)              | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:       58 || Inst at 0x30            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              | addi t0, t0, 4          |
Cycle:       59 || Inst at 0x30            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (idle)              |
Cycle:       60 || Inst at 0x30            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       61 || Inst at 0x30            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       62 || Inst at 0x34            | addi t1, t1, -1         | NOP (bubble)            | NOP (bubble)            | NOP (bubble)            |
Cycle:       63 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | NOP (bubble)            | NOP (bubble)            |
Cycle:       64 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | NOP (bubble)            |
Cycle:       65 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:       66 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:       67 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:       68 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:       69 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:       70 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:       71 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:       72 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:       73 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:       74 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:       75 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:       76 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:       77 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:       78 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:       79 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:       80 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:       81 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:       82 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:       83 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:       84 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:       85 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:       86 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:       87 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:       88 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:       89 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:       90 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       91 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       92 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       93 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       94 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       95 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       96 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       97 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | NOP (bubble)            |
Cycle:       98 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:       99 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      100 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      101 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      102 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      103 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      104 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      105 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      106 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      107 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      108 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      109 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      110 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      111 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      112 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      113 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      114 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      115 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      116 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      117 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      118 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      119 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      120 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      121 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      122 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      123 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      124 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      125 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      126 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      127 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      128 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      129 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      130 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      131 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      132 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      133 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      134 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      135 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      136 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      137 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      138 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      139 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      140 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      141 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      142 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      143 || Inst at 0x0             | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      144 || Inst at 0x1c            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      145 || Inst at 0x20            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      146 || Inst at 0x24            | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          | blt zero, t1, -24       |
Cycle:      147 || Inst at 0x28            | add t2, t3, t4          | lw t4, 4(t0)            | lw t3, 0(t0)            | NOP (squashed)          |
Cycle:      148 || Inst at 0x28            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            | lw t3, 0(t0)            |
Cycle:      149 || Inst at 0x2c            | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            | lw t4, 4(t0)            |
Cycle:      150 || Inst at 0x30            | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          | NOP (bubble)            |
Cycle:      151 || Inst at 0x34            | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            | add t2, t3, t4          |
Cycle:      152 || Inst at 0x38            | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          | sw t2, 8(t0)            |
Cycle:      153 || Inst at 0x3c            | HALT                    | blt zero, t1, -24       | addi t1, t1, -1         | addi t0, t0, 4          |
Cycle:      154 || Inst at 0x0             | NOP (bubble)            | HALT                    | blt zero, t1, -24       | addi t1, t1, -1         |
Cycle:      155 || Inst at 0x8000          | NOP (idle)              | NOP (idle)              | HALT                    | blt zero, t1, -24       |
Cycle:      156 || Inst at 0x8000          | NOP (idle)              | NOP (idle)              | HALT                    | blt zero, t1, -24       |
